"Date","Open","High","Low","Close","Volume","Dividends","Stock Splits","vol10","vol30"
2014-11-11,18.355806350708,18.355806350708,18.355806350708,18.355806350708,2819225,0,0,NA,NA
2014-11-12,20.1172218322754,20.1172218322754,20.1172218322754,20.1172218322754,1492863,0,0,NA,NA
2014-11-15,20.1172218322754,20.1172218322754,20.1172218322754,20.1172218322754,0,0,0,NA,NA
2014-11-16,24.1962890625,24.1962890625,24.1962890625,24.1962890625,40196729,0,0,NA,NA
2014-11-17,24.1035816533779,24.6598181530712,22.5275782375801,22.8056964874268,128661869,0,0,NA,NA
2014-11-18,22.8057010525563,22.9911132562356,22.1567583396787,22.620288848877,44182007,0,0,NA,NA
2014-11-19,22.7129898071289,22.9911080496652,22.6202837262835,22.7129898071289,18405577,0,0,NA,NA
2014-11-22,22.7129898071289,22.7129898071289,22.7129898071289,22.7129898071289,0,0,0,NA,NA
2014-11-23,22.9911080496652,23.0838141305106,22.6202837262835,22.7129898071289,13279953,0,0,NA,NA
2014-11-24,22.7129914561116,23.3619340691433,22.4348731933837,23.2692279815674,19939533,0,0,0.328326263184658,NA
2014-11-25,23.0838134163304,23.1765194943077,22.6202830264443,22.898401260376,13873239,0,0,0.336395390542732,NA
2014-11-26,22.6202843208623,22.898402570709,22.5275782375801,22.8056964874268,8852187,0,0,0.339977476633659,NA
2014-11-29,22.8056964874268,22.8056964874268,22.8056964874268,22.8056964874268,0,0,0,0.339977476633659,NA
2014-11-30,21.6932225427708,22.1567529389838,21.6932225427708,22.0640468597412,12800759,0,0,0.345900971341279,NA
2014-12-01,22.2494603410552,22.434872510564,21.971342086792,21.971342086792,6969097,0,0,0.221980255514667,NA
2014-12-02,22.0640480518341,22.2494602203369,21.9713419675827,22.2494602203369,4869611,0,0,0.195688352522538,NA
2014-12-03,22.2494596217965,22.342165703554,22.1567535400391,22.1567535400391,5617957,0,0,0.191107170091036,NA
2014-12-06,22.1567535400391,22.1567535400391,22.1567535400391,22.1567535400391,0,0,0,0.191107170091036,NA
2014-12-07,22.0640482943282,22.1567543795985,21.6932239532471,21.6932239532471,5267209,0,0,0.191950318975694,NA
2014-12-08,21.3223997339026,21.4151058197021,20.7661632191051,21.4151058197021,7846853,0,0,0.174783852330634,NA
2014-12-09,21.2296920638901,21.4151042216533,20.4880434328371,20.5807495117188,7795327,0,0,0.207331833460905,NA
2014-12-10,19.7463965098063,21.1369878133138,19.6536904229058,20.8588695526123,13473503,0,0,0.297791911902855,NA
2014-12-13,20.8588695526123,20.8588695526123,20.8588695526123,20.8588695526123,0,0,0,0.297791911902855,NA
2014-12-14,20.6734549837415,21.0442792883826,20.2099246029401,20.4880428314209,10149809,0,0,0.31542396643899,NA
2014-12-15,20.0245149482801,20.0245149482801,18.7266297201508,19.0974540710449,14558677,0,0,0.369248025176392,NA
2014-12-16,19.1901584259451,20.3953374575262,19.1901584259451,20.3026313781738,12027625,0,0,0.410639719836697,NA
2014-12-17,21.0442805589492,22.2494596217965,21.0442805589492,22.1567535400391,23001279,0,0,0.44292327438759,NA
