ins_id,date,close
IF1707,2017-07-04,3589.3352024922115
IF1707,2017-07-05,3639.995061728395
IF1707,2017-07-06,3634.221755725191
IF1707,2017-07-07,3628.446153846154
IF1707,2017-07-10,3634.596153846154
IF1707,2017-07-11,3661.1031645569615
IF1707,2017-07-12,3637.734080717489
IF1707,2017-07-13,3678.042617449664
IF1707,2017-07-14,3696.8348968105065
IF1707,2017-07-17,3651.713793103448
IF1707,2017-07-18,3650.077078085643
IF1707,2017-07-19,3730.00205338809
IF1707,2017-07-20,3742.898787878789
IF1708,2017-07-21,3738.264383561644
IF1708,2017-07-24,3732.860377358491
IF1708,2017-07-25,3706.0500970873786
IF1708,2017-07-26,3684.968345323741
IF1708,2017-07-27,3690.787722772277
IF1708,2017-07-28,3707.568825910931
IF1708,2017-07-31,3722.027787934186
IF1708,2017-08-01,3749.510603588907
IF1708,2017-08-02,3750.922109533468
IF1708,2017-08-03,3716.2575645756456
IF1708,2017-08-04,3694.712918660287
IF1708,2017-08-07,3715.200340715503
IF1708,2017-08-08,3717.0136452241713
IF1708,2017-08-09,3715.251403887689
IF1708,2017-08-10,3700.624116424117
IF1708,2017-08-11,3630.118707482993
IF1708,2017-08-14,3681.5259631490794
IF1708,2017-08-15,3694.8771653543295
IF1709,2017-08-17,3701.3616122840695
IF1709,2017-08-18,3705.864395229983
IF1709,2017-08-21,3720.711278195489
IF1709,2017-08-22,3729.945692883896
IF1709,2017-08-23,3740.460728744939
IF1709,2017-08-24,3724.6460348162473
IF1709,2017-08-25,3795.051420838972
IF1709,2017-08-28,3844.1191964285713
IF1709,2017-08-29,3835.6840764331214
IF1709,2017-08-30,3834.654576856649
IF1709,2017-08-31,3829.1198218262807
IF1709,2017-09-01,3836.820434782609
IF1709,2017-09-04,3842.168361581921
IF1709,2017-09-05,3856.0103671706265
IF1709,2017-09-06,3846.478608695652
IF1709,2017-09-07,3830.394256756757
IF1709,2017-09-08,3822.4662222222223
